"","x"
"–human",0
"   ",0
"    ",0.176776697018055
"     ",0.338823895550169
"       ",2.71461991992632
"          ",0.983120986916874
"             ",0
"          affinion",0
"          akin",0
"          attention",0
"          connexions",0
"          email",0
"          facsimile",0
"          ii",0
"          iii",0
"          name",0
"          new",0
"          one",0
"          phoenix",0
"          purchaser",0
"          quarles",0
"          richmond",0
"          seller",0
"          skymall",0
"          stamford",0
"          telephone",0
"          title",0
"          two",0
"          vii",0
"     now",0
"     section",0
"     whereas",0
"    defined",0
"    first",0
"    now",0
"    second",0
"    third",0
"    whereas",0
"   now",0
"   whereas",0
"  american",0
"  anything",0.811278124459133
"  attached",0
"  attention",0.721928094887362
"  attn",0
"  b",2.12581458369391
"  banc",0
"  beginning",0
"  beneficial",0
"  borrower",0
"  c",2.12808527889139
"  central",0
"  concurrently",0
"  contemporaneously",0
"  cost",0
"  d",1.92192809488736
"  early",0
"  email",0
"  except",0
"  excluded",0
"  expedia",0
"  facsimile",0
"  fax",0.721928094887362
"  gibson",0
"  hong",0
"  human",0
"  ii",0
"  iii",0
"  iv",0
"  landlord",0.543564443199596
"  longgang",0
"  los",0
"  monthly",0
"  morrison",0
"  msdw",0
"  neither",0
"  notices",0
"  notwithstanding",1.58496250072116
"  now",3.54659356429494
"  people",0
"  pursuant",0
"  reference",0
"  sacramento",0
"  san",0
"  schaumburg",0
"  scope",0
"  section",1.66804136230871
"  service",0
"  shenxianling",0
"  shenzhen",0
"  simpson",0
"  subject",1.5
"  submission",0
"  suite",0
"  tenant",0.650022421648354
"  term",0
"  th",0
"  thence",0
"  two",0
"  unless",0
"  upon",0.811278124459133
"  v",0
"  vi",0
"  w",0
"  whereas",3.0340096189246
"‘alterations’",0
"‘assignment’",0
"‘cam’",0
"‘commonly",0
"‘controlled",0
"‘covenants’",0
"‘default’",0
"‘defects’",0
"‘exterior",0
"‘grandfather’",0
"‘insurance’",0
"‘lease",0
"‘lease’",0
"‘legal",0
"‘mortgages’",0
"‘new",0
"‘new’",0
"‘real",0
"‘rent’",0
"‘rentable",0
"‘services’",0
"‘tax’",0
"‘tenant’",0
"“accountant”",0
"“accounting",0
"“accounts",0
"“accounts”",0
"“accredited",1
"“acm”",0
"“acquired",0
"“acquisition",0
"“acquisition”",0
"“acquisitionco",0
"“act”",0
"“activities”",0
"“actual",0
"“additional",0
"“adjusted",0
"“adjustment",0
"“administrative",0
"“affiliate”",1.5
"“agent’s",0
"“agent”",0
"“agents”",0
"“agreed",0
"“agreement",0
